,sentence,topic
4336,Az ügyben a nyomozás még folyamatban van.,other
7262,"Lapunk is rákérdezett erre a tárcánál, de nem kaptunk választ.",politics
5003,Egyébként arról is lehetne valami info hogy ez a free update xbox only lesz vagy minden platformra igaz és pc-re is megkapjuk vagy akármi.,technology
222,A bölcsődei ellátás július 17-től 21-ig; valamint augusztus 18-tól 31-ig; télen december 27-től 29-ig szünetel.,other
9336,"Tavaly 1,3 millió forintnyi állampapírt jegyzett, s takarékbetétjét is ügyesen felhízlalta május óta 2,2 millió forintról 8 millióra, tartozása nincs, a parlamentben havi 1,97 millió forintért, pártvezetőként ingyen dolgozik.",economy
4301,"Azt is tudjuk, hogy akik már voltak, kivétel nélkül újra részt szeretnének venni a programban.",other
9965,"Vörösréz lemezzel bélelt, nagyjából ellipszis alakú dézsát árulnak ugyanis, afféle feredőkádat furgon platójáról, mert kivenni nehéz.",other
6337,"Hangsúlyozni szeretném, hogy eddig is ebbe az irányba mutatott a jogalkotó szándéka, csak nem voltak így konkrétan megfogalmazva a lehetséges esetek, s emiatt számos értelmezési lehetőség, illetve jogi vita adódott.",politics
1540,"A lap felidézte a Eurostat 2021-es évre vonatkozó statisztikáját az átlagfizetésekről: Magyarország már ekkor is az utolsó előtti helyen állt, nagy harcban Románia is lelépte a magyar béreket.",economy
8752,"Pétert, ahogy azt sem találta megalapozottnak, hogy jogos védelmi helyzetben cselekedett a fiatalember, aki több mint három évvel ezelőtt kioltotta édesapja életét.",politics
7039,"Két ukrán pilóta tartózkodik az Egyesült Államokban, hogy az amerikai kiképzők felmérjék, mekkora feladatot jelentene átképzésük nyugati harci repülőgépek vezetésére.",politics
5871,Ez mindig is ambivalens volt bennem.,other
5629,"Ez a fazon remekül fog mutatni olyan mély kivágású, full fehér sneakerrel, mint például az ikonikus Air Force 1, de a legerősebb benyomást olyan dad shoes kelti, mint a New Balance 530-as sneaker.",other
1752,A májusi adatokhoz képest átlagosan naponta közel négyszázzal több utazásra használják munkanapokon a vasútvillamost.,trafic
5808,"Ezért fontos feladat az állatvédelmi oktatás, az állatokkal kapcsolatos ismeretek átadása a gyerekek számára.",other
1222,"Akik ezen a készüléken használják a csevegő alkalmazást, azok nagyon boldogok lehetnek.",technology
2492,A rendőrség rendelkezésre álló adatai szerint a 27 éves férfi augusztus 21-t követően XIII.,trafic
4432,"Az US100 és más amerikai indexek határidős ügyletei is emelkedő árfolyamréssel indították a heti kereskedést, válaszul arra, hogy az amerikai kongresszus elfogadta az átmeneti finanszírozási törvényt.",economy
5866,Ez még 1998-ban volt.,other
7909,Mintha élne: mesterséges intelligenciával készül film Edith PiafrólTöbb mint hatvan évvel a halála után forgatnak.,music
5019,"Egy életem van, amelyben váltakoznak a magasságok és a mélységek, mint minden egyes ember esetében; ebben próbálok egyensúlyt teremteni a mindennapokban.",other
316,"A ChatGPT elindítása óta a mesterséges intelligencia világszerte hatalmas hullámokat gerjesztett, a közvélemény rádöbbent, hogy sci-fibe illő tempóban fejlődik a technológia.",technology
5561,És folytatjuk az életünket.,other
5344,Embercsempészés miatt 27 gyanúsított ellen indult eljárás – derül ki a rendőrségi összesítésből.,trafic
9893,"Vérből sohasem lehet elég, hiszen vagy a súlyosan sérült, illetve megműtött betegeknek van rá szükségük, vagy pedig gyógyszereket készítenek belőle.",other
7988,Mit hozhat az izraeli szárazföldi támadás a Gázai övezetre?,politics
9734,Utóbbi párt elnöke egy mémet is megosztott később az oldalán.,politics
